CHEMICAL_NAME,SUPER_PATHWAY,KEGG
LPE(18:3),Complex lipids,C04438
LPE(22:5),Complex lipids,C04438
MAG(12:0),Complex lipids,C01885
MAG(14:1),Complex lipids,C01885
MAG(15:0),Complex lipids,C01885
MAG(16:0),Complex lipids,C01885
MAG(16:1),Complex lipids,C01885
MAG(17:0),Complex lipids,C01885
MAG(18:0),Complex lipids,C01885
MAG(18:1),Complex lipids,C01885
MAG(18:2),Complex lipids,C01885
MAG(18:3),Complex lipids,C01885
MAG(18:4),Complex lipids,C01885
MAG(20:0),Complex lipids,C01885
MAG(20:1),Complex lipids,C01885
MAG(20:2),Complex lipids,C01885
MAG(20:3),Complex lipids,C01885
MAG(20:4),Complex lipids,C01885
MAG(20:5),Complex lipids,C01885
MAG(22:0),Complex lipids,C01885
MAG(22:1),Complex lipids,C01885
MAG(22:2),Complex lipids,C01885
MAG(22:4),Complex lipids,C01885
MAG(22:5),Complex lipids,C01885
MAG(22:6),Complex lipids,C01885
MAG(24:0),Complex lipids,C01885
MAG(24:1),Complex lipids,C01885
MAG(14:0),Complex lipids,C01885
PC(12:0/18:2),Complex lipids,C00157
PC(14:0/14:0),Complex lipids,C00157
PC(14:0/18:3),Complex lipids,C00157
PC(15:0/20:4),Complex lipids,C00157
PC(16:0/20:3),Complex lipids,C00157
PC(17:0/18:3),Complex lipids,C00157
PC(17:0/20:5),Complex lipids,C00157
PC(18:0/20:1),Complex lipids,C00157
PC(18:0/20:2),Complex lipids,C00157
PC(18:1/14:1),Complex lipids,C00157
PC(18:1/22:1),Complex lipids,C00157
PC(18:2/18:2),Complex lipids,C00157
PC(18:2/20:1),Complex lipids,C00157
PC(20:0/18:1),Complex lipids,C00157
PC(20:0/18:2),Complex lipids,C00157
PC(20:0/20:4),Complex lipids,C00157
PC(16:0/14:0),Complex lipids,C00157
PC(16:0/16:1),Complex lipids,C00157
PC(18:1/20:1),Complex lipids,C00157
PC(18:1/20:5),Complex lipids,C00157
PC(18:1/22:6),Complex lipids,C00157
PC(18:2/20:3),Complex lipids,C00157
PC(18:2/22:5),Complex lipids,C00157
PC(14:0/20:2),Complex lipids,C00157
PC(15:0/22:6),Complex lipids,C00157
PC(16:0/16:0),Complex lipids,C00157
PC(16:0/18:1),Complex lipids,C00157
PC(16:0/20:1),Complex lipids,C00157
PC(17:0/16:1),Complex lipids,C00157
PC(17:0/22:6),Complex lipids,C00157
PC(18:0/18:0),Complex lipids,C00157
PC(18:0/22:5),Complex lipids,C00157
PC(18:1/22:5),Complex lipids,C00157
PC(18:2/20:5),Complex lipids,C00157
PC(12:0/16:1),Complex lipids,C00157
PC(14:0/20:3),Complex lipids,C00157
PC(16:0/18:3),Complex lipids,C00157
PC(17:0/20:4),Complex lipids,C00157
PC(17:0/22:4),Complex lipids,C00157
PC(18:0/12:0),Complex lipids,C00157
PC(18:0/16:1),Complex lipids,C00157
PC(18:0/22:4),Complex lipids,C00157
PC(18:1/18:1),Complex lipids,C00157
PC(18:1/18:2),Complex lipids,C00157
PC(18:1/22:4),Complex lipids,C00157
PC(18:2/18:3),Complex lipids,C00157
PC(18:2/20:2),Complex lipids,C00157
PC(20:0/16:1),Complex lipids,C00157
PC(12:0/20:5),Complex lipids,C00157
PC(14:0/18:1),Complex lipids,C00157
PC(14:0/22:5),Complex lipids,C00157
PC(14:0/22:6),Complex lipids,C00157
PC(15:0/22:5),Complex lipids,C00157
PC(16:0/18:4),Complex lipids,C00157
PC(16:0/22:2),Complex lipids,C00157
PC(16:0/22:6),Complex lipids,C00157
PC(18:0/14:0),Complex lipids,C00157
PC(14:0/16:1),Complex lipids,C00157
PC(14:0/18:2),Complex lipids,C00157
PC(14:0/22:4),Complex lipids,C00157
PC(15:0/18:2),Complex lipids,C00157
PC(15:0/18:3),Complex lipids,C00157
PC(15:0/20:5),Complex lipids,C00157
PC(16:0/18:0),Complex lipids,C00157
PC(16:0/20:4),Complex lipids,C00157
PC(16:0/20:5),Complex lipids,C00157
PC(16:0/22:1),Complex lipids,C00157
PC(16:0/22:4),Complex lipids,C00157
PC(17:0/18:1),Complex lipids,C00157
PC(17:0/18:2),Complex lipids,C00157
PC(18:0/18:3),Complex lipids,C00157
PC(18:0/18:4),Complex lipids,C00157
PC(18:0/20:0),Complex lipids,C00157
PC(18:0/20:4),Complex lipids,C00157
PC(18:0/20:5),Complex lipids,C00157
PC(18:0/22:1),Complex lipids,C00157
PC(18:0/22:6),Complex lipids,C00157
PC(18:1/20:2),Complex lipids,C00157
PC(18:1/20:4),Complex lipids,C00157
PC(18:2/16:1),Complex lipids,C00157
PC(20:0/20:3),Complex lipids,C00157
PC(20:0/20:5),Complex lipids,C00157
PC(20:0/22:5),Complex lipids,C00157
PC(12:0/18:1),Complex lipids,C00157
PC(14:0/20:1),Complex lipids,C00157
PC(14:0/20:4),Complex lipids,C00157
PC(15:0/20:3),Complex lipids,C00157
PC(16:0/14:1),Complex lipids,C00157
PC(16:0/18:2),Complex lipids,C00157
PC(17:0/14:1),Complex lipids,C00157
PC(17:0/20:3),Complex lipids,C00157
PC(17:0/22:5),Complex lipids,C00157
PC(18:0/18:2),Complex lipids,C00157
PC(18:1/16:1),Complex lipids,C00157
PC(18:1/18:3),Complex lipids,C00157
PC(18:2/22:6),Complex lipids,C00157
PC(20:0/14:1),Complex lipids,C00157
PC(20:0/22:6),Complex lipids,C00157
PC(14:0/20:5),Complex lipids,C00157
PC(15:0/14:1),Complex lipids,C00157
PC(15:0/16:1),Complex lipids,C00157
PC(15:0/18:1),Complex lipids,C00157
PC(16:0/12:0),Complex lipids,C00157
PC(16:0/20:2),Complex lipids,C00157
PC(16:0/22:5),Complex lipids,C00157
PC(18:0/18:1),Complex lipids,C00157
PC(18:0/20:3),Complex lipids,C00157
PC(18:1/20:3),Complex lipids,C00157
PC(18:2/20:4),Complex lipids,C00157
PC(18:2/22:4),Complex lipids,C00157
PC(20:0/18:3),Complex lipids,C00157
PE(15:0/22:5),Complex lipids,C00350
PE(16:0/20:2),Complex lipids,C00350
PE(17:0/18:1),Complex lipids,C00350
PE(18:0/22:5),Complex lipids,C00350
PE(18:1/14:1),Complex lipids,C00350
PE(18:1/18:1),Complex lipids,C00350
PE(18:1/20:1),Complex lipids,C00350
PE(18:1/22:4),Complex lipids,C00350
PE(18:1/22:5),Complex lipids,C00350
PE(18:2/18:2),Complex lipids,C00350
PE(O-16:0/20:4),Complex lipids,C00350
PE(O-16:0/20:5),Complex lipids,C00350
PE(O-16:0/22:5),Complex lipids,C00350
PE(O-16:0/22:6),Complex lipids,C00350
PE(O-18:0/16:0),Complex lipids,C00350
PE(O-18:0/16:1),Complex lipids,C00350
PE(O-18:0/20:3),Complex lipids,C00350
PE(P-16:0/18:1),Complex lipids,C00350
PE(P-18:0/16:0),Complex lipids,C00350
PE(P-18:0/18:1),Complex lipids,C00350
PE(P-18:0/20:2),Complex lipids,C00350
PE(P-18:1/16:1),Complex lipids,C00350
PE(P-18:1/20:2),Complex lipids,C00350
PE(P-18:1/22:5),Complex lipids,C00350
PE(16:0/18:2),Complex lipids,C00350
PE(17:0/20:4),Complex lipids,C00350
PE(17:0/22:5),Complex lipids,C00350
PE(18:0/15:0),Complex lipids,C00350
PE(18:0/16:0),Complex lipids,C00350
PE(18:0/17:0),Complex lipids,C00350
PE(18:1/22:6),Complex lipids,C00350
PE(18:2/16:1),Complex lipids,C00350
PE(O-18:0/18:1),Complex lipids,C00350
PE(O-18:0/20:2),Complex lipids,C00350
PE(P-14:1/18:1),Complex lipids,C00350
PE(P-16:0/20:1),Complex lipids,C00350
PE(P-16:0/22:5),Complex lipids,C00350
PE(P-18:0/18:0),Complex lipids,C00350
PE(P-18:0/18:3),Complex lipids,C00350
PE(P-18:0/20:4),Complex lipids,C00350
PE(15:0/18:1),Complex lipids,C00350
PE(16:0/16:1),Complex lipids,C00350
PE(17:0/20:3),Complex lipids,C00350
PE(18:0/22:4),Complex lipids,C00350
PE(18:1/20:5),Complex lipids,C00350
PE(18:2/22:6),Complex lipids,C00350
PE(P-16:0/22:6),Complex lipids,C00350
PE(P-18:0/22:4),Complex lipids,C00350
PE(P-18:0/22:5),Complex lipids,C00350
PE(P-18:1/20:3),Complex lipids,C00350
PE(14:0/16:1),Complex lipids,C00350
PE(15:0/20:2),Complex lipids,C00350
PE(16:0/14:0),Complex lipids,C00350
PE(16:0/22:6),Complex lipids,C00350
PE(18:0/18:3),Complex lipids,C00350
PE(O-16:0/16:0),Complex lipids,C00350
PE(O-16:0/18:2),Complex lipids,C00350
PE(O-16:0/22:4),Complex lipids,C00350
PE(O-18:0/18:0),Complex lipids,C00350
PE(P-16:0/18:3),Complex lipids,C00350
PE(P-16:0/20:3),Complex lipids,C00350
PE(P-18:0/16:1),Complex lipids,C00350
PE(P-18:1/20:4),Complex lipids,C00350
PE(14:0/18:2),Complex lipids,C00350
PE(16:0/16:0),Complex lipids,C00350
PE(16:0/18:1),Complex lipids,C00350
PE(16:0/20:5),Complex lipids,C00350
PE(17:0/18:2),Complex lipids,C00350
PE(17:0/22:4),Complex lipids,C00350
PE(18:0/18:2),Complex lipids,C00350
PE(18:0/20:2),Complex lipids,C00350
PE(18:0/20:4),Complex lipids,C00350
PE(18:2/14:1),Complex lipids,C00350
PE(O-18:0/22:4),Complex lipids,C00350
PE(P-16:0/20:4),Complex lipids,C00350
PE(P-18:1/22:6),Complex lipids,C00350
PE(P-18:2/22:6),Complex lipids,C00350
PE(14:0/20:4),Complex lipids,C00350
PE(16:0/18:3),Complex lipids,C00350
PE(16:0/20:1),Complex lipids,C00350
PE(17:0/22:6),Complex lipids,C00350
PE(18:0/14:1),Complex lipids,C00350
PE(18:0/16:1),Complex lipids,C00350
PE(18:0/20:5),Complex lipids,C00350
PE(18:0/22:6),Complex lipids,C00350
PE(18:1/18:3),Complex lipids,C00350
PE(18:1/20:3),Complex lipids,C00350
PE(18:2/20:1),Complex lipids,C00350
PE(O-16:0/20:3),Complex lipids,C00350
PE(O-18:0/20:4),Complex lipids,C00350
PE(O-18:0/20:5),Complex lipids,C00350
PE(P-16:0/22:4),Complex lipids,C00350
PE(P-16:1/18:1),Complex lipids,C00350
PE(P-18:0/20:5),Complex lipids,C00350
PE(P-18:0/22:6),Complex lipids,C00350
PE(P-18:1/18:1),Complex lipids,C00350
PE(P-18:1/18:2),Complex lipids,C00350
PE(P-18:2/18:2),Complex lipids,C00350
PE(P-18:2/20:4),Complex lipids,C00350
PE(15:0/22:4),Complex lipids,C00350
PE(15:0/22:6),Complex lipids,C00350
PE(16:0/22:4),Complex lipids,C00350
PE(16:0/22:5),Complex lipids,C00350
PE(18:0/20:1),Complex lipids,C00350
PE(18:1/20:4),Complex lipids,C00350
PE(O-16:0/18:1),Complex lipids,C00350
PE(O-18:0/18:2),Complex lipids,C00350
PE(O-18:0/18:3),Complex lipids,C00350
PE(O-18:0/22:5),Complex lipids,C00350
PE(O-18:0/22:6),Complex lipids,C00350
PE(P-16:0/16:0),Complex lipids,C00350
PE(P-16:0/16:1),Complex lipids,C00350
PE(P-16:0/18:0),Complex lipids,C00350
PE(P-16:0/20:2),Complex lipids,C00350
PE(P-18:0/18:2),Complex lipids,C00350
PE(P-18:1/18:3),Complex lipids,C00350
PE(P-18:1/20:5),Complex lipids,C00350
PE(14:0/14:0),Complex lipids,C00350
PE(14:0/18:1),Complex lipids,C00350
PE(16:0/20:3),Complex lipids,C00350
PE(16:0/20:4),Complex lipids,C00350
