CHEMICAL_NAME,SUPER_PATHWAY,KEGG
TAG50:3-FA18:0,Complex lipids,C00422
TAG51:0-FA17:0,Complex lipids,C00422
TAG51:1-FA16:0,Complex lipids,C00422
TAG51:3-FA16:0,Complex lipids,C00422
TAG51:3-FA18:3,Complex lipids,C00422
TAG51:4-FA20:4,Complex lipids,C00422
TAG52:0-FA16:0,Complex lipids,C00422
TAG52:1-FA18:0,Complex lipids,C00422
TAG52:2-FA14:0,Complex lipids,C00422
TAG52:2-FA16:0,Complex lipids,C00422
TAG52:2-FA20:1,Complex lipids,C00422
TAG52:3-FA22:1,Complex lipids,C00422
TAG52:5-FA18:3,Complex lipids,C00422
TAG52:5-FA20:4,Complex lipids,C00422
TAG52:5-FA20:5,Complex lipids,C00422
TAG52:6-FA20:5,Complex lipids,C00422
TAG52:8-FA18:2,Complex lipids,C00422
TAG53:1-FA17:0,Complex lipids,C00422
TAG53:2-FA18:0,Complex lipids,C00422
TAG53:2-FA18:2,Complex lipids,C00422
TAG53:3-FA18:0,Complex lipids,C00422
TAG53:4-FA18:3,Complex lipids,C00422
TAG53:5-FA18:3,Complex lipids,C00422
TAG53:5-FA20:4,Complex lipids,C00422
TAG54:0-FA16:0,Complex lipids,C00422
TAG54:2-FA16:0,Complex lipids,C00422
TAG54:4-FA16:0,Complex lipids,C00422
TAG54:5-FA16:1,Complex lipids,C00422
TAG54:5-FA18:1,Complex lipids,C00422
TAG54:5-FA20:3,Complex lipids,C00422
TAG54:6-FA16:1,Complex lipids,C00422
TAG54:6-FA18:3,Complex lipids,C00422
TAG54:8-FA18:3,Complex lipids,C00422
TAG54:8-FA20:4,Complex lipids,C00422
TAG55:2-FA18:2,Complex lipids,C00422
TAG55:8-FA20:4,Complex lipids,C00422
TAG56:4-FA18:1,Complex lipids,C00422
TAG56:4-FA18:2,Complex lipids,C00422
TAG56:4-FA20:3,Complex lipids,C00422
TAG56:6-FA18:3,Complex lipids,C00422
TAG56:7-FA16:0,Complex lipids,C00422
TAG56:7-FA18:0,Complex lipids,C00422
TAG56:7-FA20:4,Complex lipids,C00422
TAG56:8-FA20:5,Complex lipids,C00422
TAG58:10-FA22:5,Complex lipids,C00422
TAG58:2-FA18:1,Complex lipids,C00422
TAG58:6-FA18:1,Complex lipids,C00422
TAG58:8-FA18:2,Complex lipids,C00422
TAG58:8-FA22:5,Complex lipids,C00422
TAG60:10-FA22:5,Complex lipids,C00422
TAG60:10-FA22:6,Complex lipids,C00422
TAG44:1-FA16:0,Complex lipids,C00422
TAG45:0-FA15:0,Complex lipids,C00422
TAG46:1-FA12:0,Complex lipids,C00422
TAG46:2-FA16:1,Complex lipids,C00422
TAG46:2-FA18:2,Complex lipids,C00422
TAG46:4-FA18:2,Complex lipids,C00422
TAG47:0-FA17:0,Complex lipids,C00422
TAG47:1-FA14:0,Complex lipids,C00422
TAG47:1-FA17:0,Complex lipids,C00422
TAG48:4-FA16:1,Complex lipids,C00422
TAG48:4-FA20:4,Complex lipids,C00422
TAG48:5-FA18:3,Complex lipids,C00422
TAG49:1-FA16:0,Complex lipids,C00422
TAG49:2-FA15:0,Complex lipids,C00422
TAG50:0-FA18:0,Complex lipids,C00422
TAG50:1-FA16:0,Complex lipids,C00422
TAG50:1-FA18:1,Complex lipids,C00422
TAG50:2-FA16:1,Complex lipids,C00422
TAG50:2-FA18:2,Complex lipids,C00422
TAG48:3-FA14:1,Complex lipids,C00422
TAG48:3-FA16:0,Complex lipids,C00422
TAG50:3-FA16:1,Complex lipids,C00422
TAG50:3-FA18:2,Complex lipids,C00422
TAG50:4-FA14:1,Complex lipids,C00422
TAG50:4-FA18:1,Complex lipids,C00422
TAG50:5-FA14:1,Complex lipids,C00422
TAG50:5-FA16:1,Complex lipids,C00422
TAG51:1-FA18:1,Complex lipids,C00422
TAG52:0-FA18:0,Complex lipids,C00422
TAG52:1-FA20:0,Complex lipids,C00422
TAG52:2-FA18:1,Complex lipids,C00422
TAG52:2-FA18:2,Complex lipids,C00422
TAG52:3-FA16:1,Complex lipids,C00422
TAG52:3-FA18:3,Complex lipids,C00422
TAG52:4-FA18:1,Complex lipids,C00422
TAG52:4-FA20:2,Complex lipids,C00422
TAG52:4-FA20:3,Complex lipids,C00422
TAG52:5-FA14:0,Complex lipids,C00422
TAG52:5-FA20:3,Complex lipids,C00422
TAG53:4-FA20:4,Complex lipids,C00422
TAG53:6-FA18:1,Complex lipids,C00422
TAG54:2-FA20:0,Complex lipids,C00422
TAG54:3-FA18:1,Complex lipids,C00422
TAG54:4-FA18:0,Complex lipids,C00422
TAG54:4-FA20:2,Complex lipids,C00422
TAG54:4-FA20:3,Complex lipids,C00422
TAG54:5-FA18:2,Complex lipids,C00422
TAG54:6-FA20:4,Complex lipids,C00422
TAG55:5-FA18:1,Complex lipids,C00422
TAG55:5-FA18:2,Complex lipids,C00422
TAG55:5-FA20:4,Complex lipids,C00422
TAG55:6-FA18:1,Complex lipids,C00422
TAG55:7-FA18:1,Complex lipids,C00422
TAG55:7-FA20:4,Complex lipids,C00422
TAG56:4-FA22:4,Complex lipids,C00422
TAG56:5-FA18:0,Complex lipids,C00422
TAG56:5-FA18:1,Complex lipids,C00422
TAG56:6-FA18:0,Complex lipids,C00422
TAG56:6-FA22:4,Complex lipids,C00422
TAG56:8-FA16:0,Complex lipids,C00422
TAG56:8-FA18:3,Complex lipids,C00422
TAG56:9-FA20:5,Complex lipids,C00422
TAG58:7-FA18:2,Complex lipids,C00422
TAG58:9-FA20:4,Complex lipids,C00422
TAG42:0-FA14:0,Complex lipids,C00422
TAG42:1-FA12:0,Complex lipids,C00422
TAG44:0-FA16:0,Complex lipids,C00422
TAG44:1-FA14:1,Complex lipids,C00422
TAG44:2-FA16:1,Complex lipids,C00422
TAG46:1-FA18:0,Complex lipids,C00422
TAG46:2-FA12:0,Complex lipids,C00422
TAG46:2-FA14:0,Complex lipids,C00422
TAG46:2-FA18:1,Complex lipids,C00422
TAG46:3-FA12:0,Complex lipids,C00422
TAG46:3-FA18:3,Complex lipids,C00422
TAG48:1-FA14:0,Complex lipids,C00422
TAG48:2-FA18:2,Complex lipids,C00422
TAG48:4-FA18:2,Complex lipids,C00422
TAG48:5-FA18:2,Complex lipids,C00422
TAG49:0-FA16:0,Complex lipids,C00422
TAG49:1-FA17:0,Complex lipids,C00422
TAG49:2-FA14:0,Complex lipids,C00422
TAG49:2-FA18:2,Complex lipids,C00422
TAG50:1-FA14:0,Complex lipids,C00422
TAG50:2-FA18:0,Complex lipids,C00422
TAG50:3-FA16:0,Complex lipids,C00422
TAG50:3-FA18:3,Complex lipids,C00422
TAG50:4-FA16:1,Complex lipids,C00422
TAG50:4-FA18:2,Complex lipids,C00422
TAG50:4-FA20:4,Complex lipids,C00422
TAG50:6-FA20:4,Complex lipids,C00422
TAG51:2-FA17:0,Complex lipids,C00422
TAG51:4-FA18:3,Complex lipids,C00422
TAG51:5-FA18:2,Complex lipids,C00422
TAG52:0-FA20:0,Complex lipids,C00422
TAG52:2-FA20:0,Complex lipids,C00422
TAG52:3-FA14:0,Complex lipids,C00422
TAG52:4-FA16:1,Complex lipids,C00422
TAG52:5-FA16:1,Complex lipids,C00422
TAG52:6-FA18:3,Complex lipids,C00422
TAG52:6-FA20:4,Complex lipids,C00422
TAG52:7-FA20:5,Complex lipids,C00422
TAG53:3-FA17:0,Complex lipids,C00422
TAG54:0-FA18:0,Complex lipids,C00422
TAG54:1-FA18:0,Complex lipids,C00422
TAG54:2-FA18:1,Complex lipids,C00422
TAG54:5-FA22:4,Complex lipids,C00422
TAG54:6-FA18:1,Complex lipids,C00422
TAG54:6-FA18:2,Complex lipids,C00422
TAG54:6-FA20:3,Complex lipids,C00422
TAG54:7-FA18:2,Complex lipids,C00422
TAG54:8-FA22:6,Complex lipids,C00422
TAG55:3-FA18:1,Complex lipids,C00422
TAG55:4-FA18:2,Complex lipids,C00422
TAG56:10-FA18:2,Complex lipids,C00422
TAG56:1-FA18:1,Complex lipids,C00422
TAG56:6-FA18:2,Complex lipids,C00422
TAG56:6-FA20:2,Complex lipids,C00422
TAG56:6-FA22:5,Complex lipids,C00422
TAG56:7-FA22:4,Complex lipids,C00422
TAG56:8-FA16:1,Complex lipids,C00422
TAG57:2-FA18:1,Complex lipids,C00422
TAG58:10-FA20:5,Complex lipids,C00422
TAG58:8-FA20:3,Complex lipids,C00422
TAG58:9-FA18:1,Complex lipids,C00422
TAG60:11-FA22:5,Complex lipids,C00422
TAG42:1-FA18:1,Complex lipids,C00422
TAG44:2-FA14:0,Complex lipids,C00422
TAG44:2-FA18:1,Complex lipids,C00422
TAG44:2-FA18:2,Complex lipids,C00422
TAG46:1-FA14:1,Complex lipids,C00422
TAG47:0-FA14:0,Complex lipids,C00422
TAG47:0-FA15:0,Complex lipids,C00422
TAG47:2-FA15:0,Complex lipids,C00422
TAG48:1-FA14:1,Complex lipids,C00422
TAG48:3-FA18:2,Complex lipids,C00422
TAG49:1-FA14:0,Complex lipids,C00422
TAG49:2-FA16:0,Complex lipids,C00422
TAG50:0-FA16:0,Complex lipids,C00422
TAG50:1-FA16:1,Complex lipids,C00422
TAG50:1-FA18:0,Complex lipids,C00422
TAG50:2-FA20:2,Complex lipids,C00422
TAG50:4-FA20:3,Complex lipids,C00422
TAG50:5-FA14:0,Complex lipids,C00422
TAG50:5-FA20:5,Complex lipids,C00422
TAG51:0-FA16:0,Complex lipids,C00422
TAG51:2-FA15:0,Complex lipids,C00422
TAG51:3-FA18:2,Complex lipids,C00422
TAG51:4-FA16:1,Complex lipids,C00422
TAG52:3-FA18:0,Complex lipids,C00422
TAG52:3-FA18:2,Complex lipids,C00422
TAG52:3-FA20:2,Complex lipids,C00422
TAG52:4-FA16:0,Complex lipids,C00422
TAG52:5-FA16:0,Complex lipids,C00422
TAG52:5-FA18:2,Complex lipids,C00422
TAG52:6-FA22:6,Complex lipids,C00422
TAG53:2-FA16:0,Complex lipids,C00422
TAG53:2-FA17:0,Complex lipids,C00422
TAG53:3-FA16:0,Complex lipids,C00422
TAG53:4-FA18:2,Complex lipids,C00422
TAG53:5-FA18:2,Complex lipids,C00422
TAG53:7-FA18:3,Complex lipids,C00422
TAG54:2-FA18:0,Complex lipids,C00422
TAG54:3-FA16:1,Complex lipids,C00422
TAG54:3-FA20:2,Complex lipids,C00422
TAG54:4-FA18:2,Complex lipids,C00422
TAG54:4-FA20:1,Complex lipids,C00422
TAG54:5-FA20:4,Complex lipids,C00422
TAG54:5-FA20:5,Complex lipids,C00422
TAG54:7-FA16:1,Complex lipids,C00422
TAG55:1-FA16:0,Complex lipids,C00422
TAG55:2-FA18:1,Complex lipids,C00422
TAG55:6-FA20:4,Complex lipids,C00422
TAG55:7-FA15:0,Complex lipids,C00422
TAG55:7-FA22:6,Complex lipids,C00422
TAG56:2-FA18:0,Complex lipids,C00422
TAG56:2-FA20:0,Complex lipids,C00422
TAG56:4-FA20:1,Complex lipids,C00422
TAG56:5-FA18:2,Complex lipids,C00422
TAG56:5-FA22:4,Complex lipids,C00422
TAG56:6-FA18:1,Complex lipids,C00422
TAG56:6-FA20:5,Complex lipids,C00422
TAG56:7-FA20:5,Complex lipids,C00422
TAG56:8-FA18:1,Complex lipids,C00422
TAG58:10-FA18:2,Complex lipids,C00422
TAG58:3-FA18:1,Complex lipids,C00422
TAG58:6-FA20:4,Complex lipids,C00422
TAG58:7-FA18:1,Complex lipids,C00422
TAG60:12-FA22:6,Complex lipids,C00422
TAG36:0-FA12:0,Complex lipids,C00422
TAG44:0-FA14:0,Complex lipids,C00422
TAG44:1-FA12:0,Complex lipids,C00422
TAG44:3-FA18:2,Complex lipids,C00422
TAG45:0-FA14:0,Complex lipids,C00422
TAG46:0-FA14:0,Complex lipids,C00422
TAG46:1-FA18:1,Complex lipids,C00422
TAG46:3-FA14:0,Complex lipids,C00422
TAG46:3-FA16:0,Complex lipids,C00422
TAG46:3-FA16:1,Complex lipids,C00422
TAG47:1-FA16:0,Complex lipids,C00422
TAG48:0-FA14:0,Complex lipids,C00422
TAG48:0-FA18:0,Complex lipids,C00422
TAG48:1-FA18:1,Complex lipids,C00422
TAG48:2-FA16:1,Complex lipids,C00422
TAG48:4-FA14:1,Complex lipids,C00422
TAG48:4-FA18:1,Complex lipids,C00422
TAG49:0-FA17:0,Complex lipids,C00422
TAG49:2-FA18:1,Complex lipids,C00422
TAG49:3-FA18:3,Complex lipids,C00422
TAG48:3-FA16:1,Complex lipids,C00422
TAG50:3-FA18:1,Complex lipids,C00422
TAG50:5-FA16:0,Complex lipids,C00422
TAG50:5-FA18:3,Complex lipids,C00422
TAG51:1-FA17:0,Complex lipids,C00422
TAG51:2-FA18:2,Complex lipids,C00422
TAG51:4-FA16:0,Complex lipids,C00422
TAG51:4-FA18:1,Complex lipids,C00422
TAG51:5-FA18:3,Complex lipids,C00422
TAG52:1-FA16:0,Complex lipids,C00422
TAG52:2-FA20:2,Complex lipids,C00422
TAG52:4-FA18:3,Complex lipids,C00422
TAG52:5-FA18:1,Complex lipids,C00422
TAG52:6-FA14:0,Complex lipids,C00422
TAG52:6-FA18:1,Complex lipids,C00422
TAG52:7-FA18:1,Complex lipids,C00422
TAG53:1-FA18:0,Complex lipids,C00422
TAG53:2-FA18:1,Complex lipids,C00422
TAG53:4-FA17:0,Complex lipids,C00422
TAG53:5-FA18:1,Complex lipids,C00422
TAG53:6-FA18:2,Complex lipids,C00422
TAG54:1-FA16:0,Complex lipids,C00422
TAG54:1-FA20:0,Complex lipids,C00422
TAG54:1-FA20:1,Complex lipids,C00422
TAG54:2-FA18:2,Complex lipids,C00422
TAG54:3-FA18:2,Complex lipids,C00422
TAG54:3-FA20:1,Complex lipids,C00422
TAG54:4-FA18:1,Complex lipids,C00422
TAG54:4-FA18:3,Complex lipids,C00422
TAG54:4-FA20:4,Complex lipids,C00422
TAG54:4-FA22:1,Complex lipids,C00422
TAG54:5-FA16:0,Complex lipids,C00422
TAG54:5-FA18:0,Complex lipids,C00422
TAG54:5-FA18:3,Complex lipids,C00422
TAG54:5-FA22:1,Complex lipids,C00422
TAG54:7-FA22:5,Complex lipids,C00422
TAG54:8-FA20:5,Complex lipids,C00422
TAG55:6-FA20:3,Complex lipids,C00422
TAG56:3-FA18:1,Complex lipids,C00422
TAG56:5-FA20:1,Complex lipids,C00422
TAG56:5-FA20:3,Complex lipids,C00422
TAG56:5-FA20:4,Complex lipids,C00422
TAG56:7-FA22:5,Complex lipids,C00422
TAG56:8-FA20:4,Complex lipids,C00422
TAG56:9-FA22:6,Complex lipids,C00422
TAG57:8-FA22:6,Complex lipids,C00422
TAG58:6-FA18:0,Complex lipids,C00422
TAG58:7-FA20:4,Complex lipids,C00422
TAG58:8-FA18:1,Complex lipids,C00422
TAG58:8-FA20:4,Complex lipids,C00422
TAG58:9-FA22:6,Complex lipids,C00422
TAG44:1-FA16:1,Complex lipids,C00422
TAG45:0-FA16:0,Complex lipids,C00422
TAG45:1-FA16:0,Complex lipids,C00422
TAG46:2-FA14:1,Complex lipids,C00422
TAG46:3-FA18:1,Complex lipids,C00422
TAG46:3-FA18:2,Complex lipids,C00422
TAG47:1-FA16:1,Complex lipids,C00422
TAG47:1-FA18:1,Complex lipids,C00422
TAG47:2-FA16:1,Complex lipids,C00422
TAG47:2-FA18:2,Complex lipids,C00422
TAG48:0-FA16:0,Complex lipids,C00422
TAG48:2-FA12:0,Complex lipids,C00422
TAG48:2-FA14:0,Complex lipids,C00422
TAG48:2-FA18:1,Complex lipids,C00422
TAG48:3-FA18:1,Complex lipids,C00422
TAG50:2-FA16:0,Complex lipids,C00422
TAG50:3-FA14:1,Complex lipids,C00422
TAG50:3-FA20:3,Complex lipids,C00422
TAG50:4-FA14:0,Complex lipids,C00422
TAG50:5-FA20:4,Complex lipids,C00422
TAG51:1-FA18:0,Complex lipids,C00422
TAG51:2-FA18:0,Complex lipids,C00422
TAG51:3-FA15:0,Complex lipids,C00422
TAG52:3-FA18:1,Complex lipids,C00422
TAG52:3-FA20:3,Complex lipids,C00422
TAG52:4-FA14:0,Complex lipids,C00422
TAG52:4-FA18:2,Complex lipids,C00422
TAG52:4-FA22:1,Complex lipids,C00422
TAG52:6-FA16:0,Complex lipids,C00422
TAG52:7-FA22:6,Complex lipids,C00422
TAG53:0-FA16:0,Complex lipids,C00422
TAG53:1-FA16:0,Complex lipids,C00422
TAG53:1-FA18:1,Complex lipids,C00422
TAG54:3-FA18:0,Complex lipids,C00422
TAG54:3-FA18:3,Complex lipids,C00422
TAG54:5-FA22:5,Complex lipids,C00422
TAG54:6-FA20:5,Complex lipids,C00422
TAG54:6-FA22:6,Complex lipids,C00422
TAG54:7-FA22:6,Complex lipids,C00422
TAG55:1-FA18:1,Complex lipids,C00422
TAG55:4-FA18:1,Complex lipids,C00422
TAG56:3-FA16:0,Complex lipids,C00422
TAG56:3-FA18:0,Complex lipids,C00422
TAG56:4-FA16:0,Complex lipids,C00422
TAG56:4-FA20:4,Complex lipids,C00422
TAG56:5-FA16:0,Complex lipids,C00422
TAG56:6-FA16:0,Complex lipids,C00422
TAG56:6-FA20:4,Complex lipids,C00422
TAG56:7-FA22:6,Complex lipids,C00422
TAG56:8-FA22:5,Complex lipids,C00422
TAG56:9-FA18:3,Complex lipids,C00422
TAG56:9-FA20:4,Complex lipids,C00422
TAG58:7-FA22:4,Complex lipids,C00422
TAG58:9-FA18:2,Complex lipids,C00422
